title,year,organization
"Big XII Faculty Fellow",2025-26,Big XII
"NSF CMMI Game Changer Academies Panel Fellow",2022,NSF
"ASCE ExCEEd Teaching Fellow (Class of 2022)",2022,ASCE
"Best Poster Award, ASCE T&DI Conference",2018,ASCE
"Distinguished Contribution Recognition",FY 2017,Oak Ridge National Laboratory
"Superior Performance Award",FY 2016,Oak Ridge National Laboratory
"Outstanding Civil Engineering Graduate Student Award",2014,Purdue University
"Best Poster Award, Shell Energy Day",2012,Purdue University
