date,headline,description,link
2025-07,Promoted to Associate (Tenured) Professor,Dr. Aziz received tenure and promotion at Kansas State University Department of Civil Engineering.,
2025-12,Invited Talk: AI-Driven Daily Crash Prediction for CMVs,Presented at the Mid-West Commercial Vehicle Safety Summit in Kansas City.,
2025-06,Big XII Faculty Fellow 2025-26,Selected as a Big XII Faculty Fellow for the 2025-26 academic year.,
2024-04,Invited Talk: Exploring Golden-Hour Zones in Rural Kansas,Presented at the 2024 Kansas Transportation Safety Conference.,
2024-04,Invited Talk: AI for Road Safety,Computer Science Seminar Series at Missouri S&T (Webinar).,
